GENESIS-Tabelle: 32141-0002
Bauschuttaufbereitungsanlagen: Deutschland, Jahre,;;;;;;
Abfallarten;;;;;;
Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen;;;;;;
Deutschland;;;;;;
;;;Bauschuttaufbereitungsanlagen;Input von Bauschuttaufbereitungsanlagen;Bauschuttaufbereitungsanlagen mit Output;Output von Bauschuttaufbereitungsanlagen
2020;EAV-17;Bau- und Abbruchabfälle;2631;73766,1;275;3297,8
2020;EAV-170101-U;  Beton;2119;24057,0;45;558,1
2020;EAV-170102-U;  Ziegel;1020;3811,6;22;83,2
2020;EAV-170103-U;  Fliesen und Keramik;342;321,9;-;-
2020;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;7;21,7;-;-
2020;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1598;19063,7;66;347,6
2020;EAV-170201-U;  Holz;42;28,9;25;3,2
2020;EAV-170202-U;  Glas;5;0,4;-;-
2020;EAV-170203-U;  Kunststoff;-;-;-;-
2020;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;5;1,4;3;0,8
2020;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;148;914,5;92;525,6
2020;EAV-170302-U;  Bitumengemische (ohne 170301);1210;11508,0;53;316,2
2020;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;7;29,2;4;0,7
2020;EAV-170402-U;  Aluminium;-;-;-;-
2020;EAV-170403-U;  Blei;-;-;-;-
2020;EAV-170405-U;  Eisen und Stahl;8;2,9;27;5,2
2020;EAV-170407-U;  Gemischte Metalle;-;-;8;2,5
2020;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2020;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;12;62,9;-;-
2020;EAV-170504-U;  Boden und Steine (ohne 170503);915;11984,1;78;1254,9
2020;EAV-170506-U;  Baggergut (ohne 170505);16;67,0;-;-
2020;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;-;-;-;-
2020;EAV-170508-U;  Gleisschotter (ohne 170507);99;1597,1;14;153,9
2020;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2020;EAV-170603-G;  Anderes Dämmmaterial;7;1,8;4;1,8
2020;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);4;0,0;-;-
2020;EAV-170605-G;  Asbesthaltige Baustoffe;5;0,4;4;0,4
2020;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);45;35,7;21;25,8
2020;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2020;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);61;231,6;50;12,1
2020;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;55;1001,7;2586;70424,8
2020;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2020;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);10;581,1;-;-
2020;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2020;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2020;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2020;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;-;-
2020;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2020;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2020;EAV-190802-U;  Sandfangrückstände;4;6,7;-;-
2020;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2020;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;91;4,1
2020;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;-;-;852;210,4
2020;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;98;10,4
2020;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;166;15,2
2020;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;-;-
2020;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2020;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;6;1,0
2020;EAV-191207-U;  Holz (ohne 191206);-;-;335;84,7
2020;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2020;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);43;291,2;113;2587,9
2020;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1929;38727,5
2020;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1439;17684,3
2020;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;128;901,3
2020;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;209;7066,9
2020;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;140;2216,8
2020;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2020;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;-;-
2020;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;-;-
2020;EAV-191212-U;  Sonstige Abfälle (ohne 191211);11;10,1;205;528,8
2020;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;4;38,7
2020;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);49;184,4;28;62,6
2020;EAV-200101-U;  Papier und Pappe;-;-;-;-
2020;EAV-200102-U;  Glas;-;-;-;-
2020;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2020;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2020;EAV-200138-U;  Holz (ohne 200137);-;-;-;-
2020;EAV-200140-U;  Metalle;-;-;-;-
2020;EAV-200201-U;  Biologisch abbaubare Abfälle;22;49,0;22;35,0
2020;EAV-200202-U;  Boden und Steine;10;53,4;-;-
2020;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2020;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;-;-;3;14,3
2020;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2020;EAV-200303-U;  Straßenkehricht;17;35,5;-;-
2020;EAV-200306-U;  Abfälle aus der Kanalreinigung;7;4,9;-;-
2020;EAV-200307-U;  Sperrmüll;3;4,8;-;-
2020;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2020;EAV-99;Gefährliche Abfälle;165;1059,1;104;553,1
2020;EAV-990000-G;  Gefährliche Abfälle insgesamt;165;1059,1;104;553,1
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 26.08.2023 / 16:58:05
