GENESIS table: 32161-0001
Companies, amount of waste generated: Germany, years,;;;;
types of waste;;;;
Waste generation survey;;;;
Germany;;;;
;;;Operations;Amount of waste generated
2018;EAV-070503-G; Pharmaceuticals: halogen organic solvent, wash bottle;42;29.1
2018;EAV-070504-G; Pharmaceuticals: organ. solvent, washing liquid;80;61.3
2018;EAV-070507-G; Pharmaceuticals: halogen.reaction, still.residue;6;1,4
2018;EAV-070508-G; Pharmaceuticals: reaction, distillation residues;36;4.9
2018;EAV-070509-G; Pharmaceuticals: halogen filter cake, absorbent mat.;5;0.3
2018;EAV-070510-G; Pharmaceuticals: filter cakes, absorbent materials;13;1,4
2018;EAV-070511-G; Pharmaceuticals: sludge (in-house waste water treatment);6;0.9
2018;EAV-070512-U; sludge from on-site Sewage treatment (oh.070511);11;12.5
2018;EAV-070513-G; Pharmaceuticals: Solid waste with hazardous fabrics;38;1.5
2018;EAV-070514-U; Solid waste (excluding 070513);45;21.5
2018;EAV-070599-U; Pharmaceuticals: wastes not otherwise specified;72;18.5
2018;EAV-070601-G; Fats, soaps: Aqueous washes, mother liquors;165;26.4
2018;EAV-070603-G; Fats, soaps: halogen organic solvents, washing bottles;37;0.3
2018;EAV-070604-G; Fats, soaps: organ. Solvent, washing liquid;165;4.9
2018;EAV-070607-G; Fats, soaps: Halogen.reaction, distill.residue.;5;0.1
2018;EAV-070608-G; Fats, soaps: reaction, distillation residues;463;40.3
2018;EAV-070609-G; Fats, soaps: halogen filter cake, absorbent material;-;-
2018;EAV-070610-G; Fats, soaps: filter cakes, absorbent materials;19;3.1
2018;EAV-070611-G; Fats, soaps: sludge (own waste water treatment);-;-
2018;EAV-070612-U; sludge from on-site Sewage treatment (oh.070611);22;15.6
2018;EAV-070699-U; Fats, soaps, lubricants, etc.: waste not otherwise specified;145;34.0
2018;EAV-070701-G; Fine Chemicals: Aqueous washes, mother liquors;234;94.6
2018;EAV-070703-G; Fine chemicals: halogen organic solvents, wash fl.;141;12.9
2018;EAV-070704-G; Fine chemicals: organ. solvents, washing liquid;538;55.7
2018;EAV-070707-G; Fine Chemicals: Halogen.Reaction, Distill.residue;24;17.4
2018;EAV-070708-G; Fine chemicals: reaction, distillation residues;79;116.5
2018;EAV-070709-G; Fine chemicals: halogen filter cake, absorbent material;16;0.5
2018;EAV-070710-G; Fine chemicals: filter cakes, absorbent materials;35;2.9
2018;EAV-070711-G; Fine chemicals: sludge (own waste water treatment); 19; 2.9
2018;EAV-070712-U; sludge from on-site Sewage treatment (oh.070711);9;3.0
2018;EAV-070799-U; Fine chemicals: wastes not otherwise specified;16;1,6
2018;EAV-08;Waste from MFSU from coatings, adhesives, etc.;;
2018;EAV-080111-G; Waste paint and varnish containing dangerous substances;4118;158.6
2018;EAV-080112-U; Paint and varnish waste (without 080111);758;16.2
2018;EAV-080113-G; Paint and varnish sludges containing dangerous substances;483;28.3
2018;EAV-080114-U; Paint and varnish sludge (without 080113);45;3.1
2018;EAV-080115-G; Paints, varnishes: Aqueous sludge with hazardous St.;163;14.1
2018;EAV-080116-U; Aqueous sludge (excluding 080115);448;28.9
2018;EAV-080117-G; Waste from paint or varnish removal;264;19.1
2018;EAV-080118-U; Waste from paint or varnish removal (excluding 080117);102;3.6
2018;EAV-080119-G; Aqueous suspensions containing paints or varnishes;59;10.9
2018;EAV-080120-U; Aqueous suspensions (without 080119);131;9.2
2018;EAV-080121-G; waste paint or varnish remover;14;0.3
2018;EAV-080199-U; Paints, varnishes: waste not otherwise specified;7;0.3
2018;EAV-080201-U; Coating powder waste;145;4.7
2018;EAV-080202-U; Aqueous sludge containing ceramic materials;20;6.9
2018;EAV-080203-U; Aqueous suspensions,ceram. Materials containing;10;2.0
2018;EAV-080299-U; Other coatings: wastes not otherwise specified;4;0.7
2018;EAV-080307-U; Aqueous sludges containing printing inks;6;0.4
2018;EAV-080308-U; Aqueous liquid wastes, d. Inks included;71;7.1
2018;EAV-080312-G; Waste ink containing hazardous substances;287;16.2
2018;EAV-080313-U; Ink waste (excluding 080312);99;2.6
2018;EAV-080314-G; Printing ink sludge with dangerous substances;93;13.4
2018;EAV-080315-U; Printing ink sludge (without 080314);9;0.3
2018;EAV-080316-G; Etching solution waste;-;-
2018;EAV-080317-G; Waste toner containing hazardous substances;53;0.0
2018;EAV-080318-U; Waste toner (excluding 080317);322;1.3
2018;EAV-080319-G; dispersion oil;14;0.1
2018;EAV-080399-U; Printing inks: waste not otherwise specified;3;0.0
2018;EAV-080409-G; Adhesive and sealant waste with hazardous St.;1351;36.7
2018;EAV-080410-U; Adhesive and sealant waste (excluding 080409);294;75.7
2018;EAV-080411-G; Slurries containing adhesives and sealants;10;0.2
2018;EAV-080412-U; Adhesive and sealant hold. sludge(oh.080411);8;0.9
2018;EAV-080413-G; Adhesive, sealant: Aqueous sludge with hazardous level;15;0.5
2018;EAV-080414-U; Aqueous sludge (without 080413);40;4.3
2018;EAV-080415-G; Adhesive, sealant: Aqueous liquid waste with hazardous St;9;0.3
2018;EAV-080416-U; Aqueous liquid waste (excluding 080415);41;7.3
2018;EAV-080417-G; Adhesives, sealants: resin oils;-;-
2018;EAV-080499-U; Adhesives, sealants: waste not otherwise specified;5;0.3
2018;EAV-080501-G; isocyanate waste; 109; 0.6
2018;EAV-09;Waste from the photographic industry;;
2018;EAV-090101-G; Water-based developer and activator solutions;245;0.5
2018;EAV-090102-G; offset printing plate developing solutions; 238; 17.9
2018;EAV-090103-G; Solvent-based developer solutions;8;0.1
2018;EAV-090104-G; fixer baths;188;0.5
2018;EAV-090105-G; bleach solutions and bleach-fix baths;3;0.2
2018;EAV-090106-G; Waste containing silver from tank photographer. waste;-;-
2018;EAV-090107-U; Films and photographic papers containing silver;109;1.1
2018;EAV-090108-U; Non-silver film and photographic paper;76;1,2
2018;EAV-090110-U; Disposable cameras without batteries;-;-
2018;EAV-090111-G; Disposable cameras with batteries (160601-160603);-;-
2018;EAV-090112-U; Disposable cameras with batteries (without 090111);-;-
2018;EAV-090113-G; Waste from silver recovery (excluding 090106);-;-
2018;EAV-090199-U; Photographic industry: wastes not otherwise specified;7;0.4
2018;EAV-10;Waste from thermal processes;;
2018;EAV-100101-U; rust and Boiler ash, slag, boiler st.(oh.100104);378;5384.9
2018;EAV-100102-U; Filter dust from coal firing;53;1520.2
2018;EAV-100103-U; Fly ash from peat firing and furnaces;38;21.3
2018;EAV-100104-G; fly ash and boiler dust from oil firing;15;2.8
2018;EAV-100105-U; Calcium-based reaction wastes in solid form;43;532.9
2018;EAV-100107-U; calcium-based reaction wastes (sludges);13;30.7
2018;EAV-100109-G; Sulfuric acid;-;-
2018;EAV-100113-G; Filter dust from emulsified hydrocarbons;-;-
2018;EAV-100114-G; Bottom ash and boiler ash, slag, boiler dust;20;8.3
2018;EAV-100115-U; rust and Boiler ash, slag, boiler st.(oh.100114);38;1139.9
2018;EAV-100116-G; fly ash from co-incineration;17;21.1
2018;EAV-100117-U; Fly ash from waste co-incineration (oh.100116);20;3552.6
2018;EAV-100118-G; Waste from flue gas treatment with haz. St.;44;47.8
2018;EAV-100119-U; waste a. Exhaust gas treatment (oh.100105,100107,100118);21;10.3
2018;EAV-100120-G; Power plants, etc.: sludge (own waste water treatment); 4; 2.1
2018;EAV-100121-U; sludge a. Operational waste water treatment (oh.100120);5;0.8
2018;EAV-100122-G; Power plants, etc.: Aqueous sludge a. Boiler cleaning.;3;1.1
2018;EAV-100123-U; Aqueous sludge from boiler cleaning (oh.100122);5;0.2
2018;EAV-100124-U; Power plants, etc.: sands from fluidized bed combustion;-;-
2018;EAV-100125-U; Waste from fuel storage and preparation;6;9,4
2018;EAV-100126-U; waste from cooling water treatment;7;3,4
2018;EAV-100199-U; Power plants and other incineration plants: waste not otherwise specified;-;-
2018;EAV-100201-U; Iron, steel ind.: waste from slag processing;15;851.9
2018;EAV-100202-U; Iron, steel ind.: unprocessed slag;53;1443.0
2018;EAV-100207-G; Iron,steel ind.: solid waste from flue gas treatment;59;263.1
2018;EAV-100208-U; Waste from flue gas treatment (excl. 100207);26;413.8
2018;EAV-100210-U; Iron, steel ind.: mill scale;81;417.8
2018;EAV-100211-G; Iron, steel ind.: oil hold. Waste from cooling water tank;13;4.8
2018;EAV-100212-U; Waste from cooling water treatment (without 100211);3;0.1
2018;EAV-100213-G; Iron, steel ind.: sludge, filter c. from exhaust gas tank;10;155.6
2018;EAV-100214-U; Sludges and filter cakes from exhaust gas treatment. (oh.100213);4;134.8
2018;EAV-100215-U; Iron, steel ind.: Other sludges and filter cakes;18;251.3
2018;EAV-100299-U; Iron and steel industry: wastes not otherwise specified;11;2,7
2018;EAV-100302-U; Aluminum metallurgy: anode scrap;5;1.1
2018;EAV-100304-G; Aluminum metallurgy: slags from initial melting;-;-
2018;EAV-100305-U; Aluminum metallurgy: alumina waste;11;1,7
2018;EAV-100308-G; Aluminum metallurgy: salt slags from secondary melting; 5; 192.8
2018;EAV-100309-G; Aluminum metallurgy: Black dross on second coat;-;-
2018;EAV-100315-G; Aluminum metallurgy: scum (flammable);31;26.7
2018;EAV-100316-U; Scum (without 100315);61;111.4
2018;EAV-100317-G; Aluminum metallurgy:tar h. Waste from anode manufacture;3;0.5
2018;EAV-100318-U; Waste from anode production (excluding 100317);-;-
2018;EAV-100319-G; Aluminum metallurgy: filter dust with hazardous level;14;1.0
2018;EAV-100320-U; Filter dust (without 100319);-;-
2018;EAV-100321-G; Aluminum Metallurgy: Other particles and dust;10;0.4
2018;EAV-100322-U; Other particles and dust (excluding 100321);4;0.1
2018;EAV-100323-G; Aluminum metallurgy: Solid waste a. Emission treatment;15;12.0
2018;EAV-100324-U; Solid waste from flue gas treatment (excluding 100323);-;-
2018;EAV-100325-G; Aluminum metallurgy: sludge, filter k.a. exhaust gas treatment; 3; 4.7
2018;EAV-100326-U; Sludges and filter cakes from exhaust gas treatment. (oh.100325);4;0.1
2018;EAV-100327-G; Aluminum Metallurgy: Oil H.Abf. from cooling water tank;-;-
2018;EAV-100328-U; Waste from cooling water treatment (without 100327);-;-
2018;EAV-100329-G; Aluminum metallurgy: Abf.a. tank v.salt slag;-;-
2018;EAV-100330-U; Waste from treatment of salt slags (oh.100329);-;-
2018;EAV-100399-U; Aluminum metallurgy: waste not otherwise specified;-;-
2018;EAV-100401-G; Lead metallurgy: slags (primary, secondary smelting);6;97.0
2018;EAV-100402-G; Lead Metal.: Scabies,Scum (First,Second.);52;5.7
2018;EAV-100403-G; Lead Metallurgy: Calcium Arsenate;-;-
2018;EAV-100404-G; Lead metallurgy: filter dust;3;4.1
2018;EAV-100405-G; Lead metallurgy: other particles and dust;10;3,7
2018;EAV-100406-G; Lead metallurgy: solid waste from flue gas treatment;-;-
2018;EAV-100407-G; Lead Metallurgy: Slurries, Filterk. from flue gas treatment;-;-
2018;EAV-100409-G; Lead Metallurgy: Oilh. Waste from cooling water tank.;-;-
2018;EAV-100410-U; Waste from cooling water treatment (without 100409);-;-
2018;EAV-100499-U; Lead metallurgy: wastes not otherwise specified;-;-
2018;EAV-100501-U; Zinc metallurgy: slags (primary, secondary smelting);6;2.0
2018;EAV-100503-G; Zinc metallurgy: filter dust;7;0.2
2018;EAV-100504-U; Zinc Metallurgy: Other particles and dust;14;1.7
2018;EAV-100505-G; Zinc metallurgy: Solid waste from flue gas treatment;-;-
2018;EAV-100506-G; Zinc metallurgy: sludges, filter c. from flue gas treatment;-;-
2018;EAV-100508-G; Zinc metallurgy: Ölh. Waste from cooling water tank.;-;-
2018;EAV-100509-U; Waste from cooling water treatment (without 100508);-;-
2018;EAV-100510-G; Zinc metallurgy: dross, scum (flammable);-;-
2018;EAV-100511-U; scabies, scum (without 100510);9;2,3
2018;EAV-100599-U; Zinc metallurgy: wastes not otherwise specified;3;0.1
2018;EAV-100601-U; Copper metallurgy: slags (primary, secondary smelting);5;69.6
2018;EAV-100602-U; Coppermetal: Scabs,Scum (First,Second);8;7,9
2018;EAV-100603-G; Copper metallurgy: filter dust;6;1.3
2018;EAV-100604-U; Copper metallurgy: Other particles and dust;5;2.1
2018;EAV-100606-G; Copper metallurgy: solid waste from waste gas treatment;-;-
2018;EAV-100607-G; Copper metallurgy: slurries, filter c. a.exhaust tank;-;-
2018;EAV-100609-G; Copper metallurgy: Oil h.Abf. from cooling water tank;-;-
2018;EAV-100610-U; Waste from cooling water treatment (without 100609);-;-
2018;EAV-100699-U; Copper metallurgy: wastes not otherwise specified;-;-
2018;EAV-100701-U; Silver metal etc.: slags (first, second smelting);-;-
2018;EAV-100702-U; Silbermet.u.a.: dross, skimming (first, second sm.); 3; 0.0
2018;EAV-100703-U; Silver metal, among others: Solid waste from exhaust gas treatment;-;-
2018;EAV-100704-U; silver metal etc.: Other particles and dust;6;0.1
2018;EAV-100705-U; Silver metal etc.: sludge, filter cake a.exhaust gas tank.;-;-
2018;EAV-100707-G; Silbermet.ua.: Oily waste from cooling water tank.;-;-
2018;EAV-100708-U; Waste from cooling water treatment (without 100707);-;-
2018;EAV-100799-U; Silver, gold, platinum metallurgy: waste not otherwise specified;-;-
2018;EAV-100804-U; Non-ferrous metallurgy: particles and dust;11;0.9
2018;EAV-100808-G; Non-ferrous metals: salt slag (first, second smelting);-;-
2018;EAV-100809-U; Non-ferrous metallurgy: other slags;11;59.5
2018;EAV-100810-G; Non-ferrous metallurgy: dross, skimmings (flammable); 6; 0.3
2018;EAV-100811-U; scabies, scum (without 100810);56;4.4
2018;EAV-100812-G; non-ferrous metal: tar Waste from anode manufacture.;-;-
2018;EAV-100813-U; Carbonaceous waste (excluding 100812);-;-
2018;EAV-100814-U; Non-ferrous metallurgy: anode scrap;-;-
2018;EAV-100815-G; Non-ferrous metallurgy: filter dust with hazardous level;31;4.2
2018;EAV-100816-U; Filter dust (without 100815);6;0.1
2018;EAV-100817-G; Non-ferrous metallurgy: sludge, filter k.a. exhaust gas treatment;-;-
2018;EAV-100818-U; Sludge and filter cake from exhaust gas treatment.(oh.100817);-;-
2018;EAV-100819-G; Non-ferrous metallurgy: Oil H.Abf. from cooling water tank;-;-
2018;EAV-100820-U; Waste from cooling water treatment (without 100819);-;-
2018;EAV-100899-U; Non-ferrous metallurgy: wastes not otherwise specified;3;0.0
2018;EAV-100903-U; Iron,steel: furnace slag;103;259.6
2018;EAV-100905-G; Iron,steel: casting molds and sands before casting;4;0.7
2018;EAV-100906-U; Casting molds and sand before casting (oh.100905);44;106.3
2018;EAV-100907-G; Iron,steel: casting molds and sands after casting;8;3,3
2018;EAV-100908-U; Casting molds and sands after casting (without 100907);142;1854.2
2018;EAV-100909-G; Iron,steel: filter dust with dangerous substances;35;11.0
2018;EAV-100910-U; filter dust (without 100909);50;56.4
2018;EAV-100911-G; Iron,steel: other particles with hazardous fabrics;-;-
2018;EAV-100912-U; Other particles (without 100911);-;-
2018;EAV-100913-G; Iron,steel: abf. binders with hazardous St.;-;-
2018;EAV-100914-U; Binding agent waste (without 100913);-;-
2018;EAV-100915-G; Iron,steel: from crack-indicating substances;-;-
2018;EAV-100916-U; Waste from crack-indicating substances (oh.100915);-;-
2018;EAV-100999-U; Casting of iron and steel: wastes not otherwise specified;8;3,1
2018;EAV-101003-U; Non-ferrous metals: furnace slag;24;7.8
2018;EAV-101005-G; Non-ferrous metals: casting moulds, sands before casting;-;-
2018;EAV-101006-U; Casting molds and sand before casting (without 101005);12;26.9
2018;EAV-101007-G; Non-ferrous metals: casting moulds, sand after casting;3;0.6
2018;EAV-101008-U; Casting molds and sands after casting (oh. 101007);44;246.3
2018;EAV-101009-G; Non-ferrous metals: filter dust with hazardous substances;15;4.3
2018;EAV-101010-U; Filter dust (without 101009);12;1.0
2018;EAV-101011-G; Non-ferrous metals: And. particles with dangerous fabrics;-;-
2018;EAV-101012-U; Other particles (excluding 101011);4;1.0
2018;EAV-101013-G; Non-ferrous metal: Abf.v. Binding agents with hazardous tax;-;-
2018;EAV-101014-U; Binding waste (without 101013);-;-
2018;EAV-101015-G; Non-ferrous metals: waste from crack-indicating substances;-;-
2018;EAV-101016-U; Waste from crack-indicating substances (oh.101015);-;-
2018;EAV-101099-U; Casting of non-ferrous metals: wastes not otherwise specified;6;2.0
2018;EAV-101103-U; Glass fiber waste;60;47.5
2018;EAV-101105-U; Glass production: particles and dust;19;0.5
2018;EAV-101109-G; Mixture waste with hazardous fabrics v. i.e. melts;9;0.6
2018;EAV-101110-U; Batch waste before melting (without 101109);14;5.9
2018;EAV-101111-G; Glass waste in small particles and glass dust;9;2.1
2018;EAV-101112-U; Glass waste (excluding 101111);232;223.8
2018;EAV-101113-G; Glass polishing and glass grinding sludge;23;1.6
2018;EAV-101114-U; Glass polishing and glass grinding sludge (without 101113);53;3.4
2018;EAV-101115-G; Glass manufacture: solid waste from gas treatment;36;2,7
2018;EAV-101116-U; Solid waste from flue gas treatment (excluding 101115);12;2.2
2018;EAV-101117-G; Glass production: sludges, filters. from flue gas treatment;-;-
2018;EAV-101118-U; Sludge and filter cake from exhaust gas treatment.(oh.101117);-;-
2018;EAV-101119-G; Glass manuf.: Solid waste a. in-house Wastewater tank;9;1,3
2018;EAV-101120-U; solid waste a. operational Sewage treatment (oh.101119);10;0.5
2018;EAV-101199-U; Glass production: waste n.e.c.;3;0.1
2018;EAV-101201-U; Ceramic products: raw mixtures before firing;37;36.3
2018;EAV-101203-U; Ceramic products: particles and dust;54;6.5
2018;EAV-101205-U; Ceramic products: slurries, filter c. a.exhaust tank;-;-
2018;EAV-101206-U; Pottery: discarded forms;39;9.5
2018;EAV-101208-U; waste from ceramic products, bricks, etc.;97;108.2
2018;EAV-101209-G; Ceramic products: solid waste a. Exhaust gas treatment;19;3.8
2018;EAV-101210-U; Solid waste from flue gas treatment (excluding 101209);54;13.2
2018;EAV-101211-G; Ceramic products: glaze waste with heavy metals;-;-
2018;EAV-101212-U; glaze waste (without 101211);4;0.3
2018;EAV-101213-U; Ceramic products: sludge (in-house waste water treatment); 46; 54.9
2018;EAV-101299-U; Ceramic products,ceramic building materials: waste not otherwise specified;14;1,9
2018;EAV-101301-U; Cement etc.:waste from raw mixture before burning;-;-
2018;EAV-101304-U; Waste from calcination, hydration of quicklime;15;100.5
2018;EAV-101306-U; Cement etc.: particles, dust (except 101312,101313);44;72.6
2018;EAV-101307-U; Cement etc.: sludge, filter cake from exhaust gas treatment;-;-
2018;EAV-101309-G; Waste containing asbestos a. Manufacturing. v. asbestos cement;-;-
2018;EAV-101310-U; waste from production Asbestos cement(oh.101309);-;-
2018;EAV-101311-U; Composite waste (excluding 101309, 101310);31;1932.3
2018;EAV-101312-G; Cement among others: Solid waste from exhaust gas treatment;5;1.9
2018;EAV-101313-U; Solid waste from flue gas treatment (excluding 101312);-;-
2018;EAV-101314-U; Concrete waste and concrete sludge;135;311.4
2018;EAV-101399-U; Cement, gypsum, quicklime: wastes not otherwise specified;8;1,1
2018;EAV-101401-G; Crematoria: mercury h. Waste from gas cleaning;3;0.0
2018;EAV-11;Wastes from chemical surface treatment;;
2018;EAV-110105-G; Surface treatment: Acid pickling solutions;576;153.7
2018;EAV-110106-G; Surface treat.: Acids not otherwise specified;192;6,6
2018;EAV-110107-G; Surface finish: Alkaline pickling solutions;617;48.8
2018;EAV-110108-G; Surface treatment: phosphating sludge;165;6.4
2018;EAV-110109-G; Surface treatment: sludge, filter cake with gef.St.;565;51.3
2018;EAV-110110-U; sludge and filter cake (without 110109);95;51.3
2018;EAV-110111-G; Surface treatment: Aqueous flushing liquid. with tax;733;58.0
2018;EAV-110112-U; Aqueous rinsing fluids (excluding 110111);97;8.1
2018;EAV-110113-G; Surface treatment: Waste from degreasing, including tax; 143; 9.3
2018;EAV-110114-U; Waste from degreasing (excluding 110113);14;0.2
2018;EAV-110115-G; Surface treatment: eluates, sludges a. membrane system;3;0.4
2018;EAV-110116-G; Surface finish: ion exchange resins;23;0.0
2018;EAV-110198-G; Surface treatment: Other waste with hazardous St.;198;9.6
2018;EAV-110199-U; Surface treatment: waste not otherwise specified;13;13.5
2018;EAV-110202-G; Zinc hydrometallurgy sludges;6;171.0
2018;EAV-110203-U; waste from the manufacture of anodes;-;-
2018;EAV-110205-G; Waste from copper hydrometallurgy processes;-;-
2018;EAV-110206-U; waste from process. d.Kupfer-Hydromet.(oh.110205);-;-
2018;EAV-110207-G; Non-ferrous hydrometallurgy: Other Abf. with dangerous level;3;14.1
2018;EAV-110299-U; Non-ferrous hydrometallurgy: wastes not otherwise specified;6;1,6
2018;EAV-110301-G; Sludges, solids from hardening processes: cyanidh. waste;26;0.4
2018;EAV-110302-G; Sludges, solids from hardening processes: Other waste;47;1,2
2018;EAV-110501-U; Galvanizing: hard zinc;13;5.6
2018;EAV-110502-U; Zinc plating: zinc ash;13;1.7
2018;EAV-110503-G; Galvanizing: solid waste from flue gas treatment;6;0.1
2018;EAV-110504-G; Galvanizing: Used fluxes;-;-
2018;EAV-110599-U; galvanizing: waste not otherwise specified;-;-
2018;EAV-12;Waste from mechanical shaping processes;;
2018;EAV-120101-U; Iron filings and turnings;2711;1562.3
2018;EAV-120102-U; iron dust and particles; 2370; 2958.5
2018;EAV-120103-U; Non-ferrous metal filings and turnings;2084;319.2
2018;EAV-120104-U; non-ferrous metal dust and particles; 1473; 245.4
2018;EAV-120105-U; plastic shavings and turnings;407;58.5
2018;EAV-120106-G; Mineral oil-based machining oils containing halogens;19;10.9
2018;EAV-120107-G; Halogen-free mineral-based machining oils;137;24.7
2018;EAV-120108-G; Halogenated Machining Emulsions & Solutions;33;0.9
2018;EAV-120109-G; Halogen-free machining emulsions and solutions;4694;432.3
2018;EAV-120110-G; Synthetic machining oils;28;0.2
2018;EAV-120112-G; Used waxes and fats;568;11.7
2018;EAV-120113-U; sweat waste;102;34.0
2018;EAV-120114-G; Machining sludge with dangerous substances;323;15.7
2018;EAV-120115-U; Machining sludge (without 120114);129;7.5
2018;EAV-120116-G; Abrasive waste (with dangerous substances);205;7.4
2018;EAV-120117-U; Abrasive waste (without 120116);767;64.5
2018;EAV-120118-G; Oily metal sludge (grinding sludge, etc.);690;52.2
2018;EAV-120119-G; Easily biodegradable machining oils;-;-
2018;EAV-120120-G; Used honing and abrasives with hazardous substances;85;5.6
2018;EAV-120121-U; Used honing and abrasives (without 120120);416;11.1
2018;EAV-120199-U; surface treatment Metals, plastics: waste not otherwise specified;161;147.8
2018;EAV-120301-G; Aqueous washing liquids;473;22.6
2018;EAV-120302-G; waste from vapor degreasing;13;0.7
2018;EAV-13;Oil waste and liquid fuel waste;;
2018;EAV-130101-G; Hydraulic oils containing PCB;-;-
2018;EAV-130104-G; Hydraulic oils: chlorinated emulsions;-;-
2018;EAV-130105-G; Hydraulic oils: Non-chlorinated emulsions;79;4.9
2018;EAV-130109-G; Mineral-based chlorinated hydraulic oils;3;0.0
2018;EAV-130110-G; Mineral-based non-chlorinated hydraulic oils;153;1.9
2018;EAV-130111-G; Synthetic hydraulic oils;15;0.1
2018;EAV-130112-G; Easily biodegradable hydraulic oils;3;0.0
2018;EAV-130113-G; Other hydraulic oils;24;0.1
2018;EAV-130204-G; Chlorinated engine, gear and lubricating oils;90;0.7
2018;EAV-130205-G; Non-chlorinated machine, gear and lubricating oils;5968;72.6
2018;EAV-130206-G; Synthetic machine, gear and lubricating oils;44;0.1
2018;EAV-130207-G; Easily biodegradable. Machine, gear oils;4;0.0
2018;EAV-130208-G; Other engine, gear and lubricating oils;494;5.8
2018;EAV-130301-G; Insulating and heat transfer oils with PCB;17;0.2
2018;EAV-130306-G; Chlorine. Insulating and heat transfer oils(oh.130301);4;0.0
2018;EAV-130307-G; Non-chlorinated insulating and heat transfer oils;119;3.1
2018;EAV-130308-G; Synthetic insulating and heat transfer oils;31;1.1
2018;EAV-130309-G; Biologist easily degradable. Insulation and Heat transfer oils;-;-
2018;EAV-130310-G; Other insulating and heat transfer oils;20;0.1
2018;EAV-130401-G; Bilge oils from inland shipping;-;-
2018;EAV-130402-G; Bilge oils from jetty drains;-;-
2018;EAV-130403-G; Bilge oils from other shipping;20;4.3
2018;EAV-130501-G; Solid waste from grit chambers and oil/water separators;195;4.6
2018;EAV-130502-G; Oil/water separator sludges;1441;58.6
2018;EAV-130503-G; Slurries from sumps;366;9.2
2018;EAV-130506-G; Oils from oil/water separators;37;2.2
2018;EAV-130507-G; Oily water from oil/water separators;356;20.2
2018;EAV-130508-G; Waste mixtures from sand traps, oil/water separators;882;19.5
2018;EAV-130701-G; heating oil and diesel;107;1.8
2018;EAV-130702-G; Gasoline;53;0.5
2018;EAV-130703-G; Other fuels (including mixtures);276;18.0
2018;EAV-130801-G; Oil waste: sludges or emulsions from desalinators;-;-
2018;EAV-130802-G; Oil waste: other emulsions;471;14.9
2018;EAV-130899-G; Oil waste: waste not otherwise specified;330;15.5
2018;EAV-14;Waste from organic solvents, coolants;;
2018;EAV-140601-G; chlorofluorocarbons, HCFC, HFC;75;0.1
2018;EAV-140602-G; Other halogenated solvents and solvent mixtures;319;3.7
2018;EAV-140603-G; Other solvents and solvent mixtures;3152;44.9
2018;EAV-140604-G; sludge, solid waste (halogenated solvents);12;0.8
2018;EAV-140605-G; sludge, solid waste (other solvents);51;0.9
2018;EAV-15;Packaging waste, absorbent masses, wipes;;
2018;EAV-150101-U; Paper and cardboard packaging;13961;1904.0
2018;EAV-150102-U; Plastic packaging;10430;459.3
2018;EAV-150103-U; Wooden packaging;7668;541.3
2018;EAV-150104-U; Metal packaging;792;52.5
2018;EAV-150105-U; Composite packaging;347;67.1
2018;EAV-15010600-U; Mixed packages not differentiable;7725;593.3
2018;EAV-15010601-U; Lightweight packaging (LVP);1807;33.9
2018;EAV-15010602-U; Mixed recyclables together with lightweight packaging;93;3.8
2018;EAV-150107-U; Glass packaging;1074;92.4
2018;EAV-150109-U; Textile packaging;29;0.7
2018;EAV-150110-G; Packaging with residues of dangerous substances;4721;42.1
2018;EAV-150111-G; metal packaging;79;1.2
2018;EAV-150202-G; absorbent and filter materials, wipes;8465;94.6
2018;EAV-150203-U; Absorbent and filter materials (without 150202);558;29.6
2018;EAV-16;Wastes not listed elsewhere in the inventory;;
2018;EAV-160103-U; Used tires;715;57.7
2018;EAV-160104-G; end-of-life vehicles;30;6.7
2018;EAV-160106-U; end-of-life vehicles without hazardous components;17;10.6
2018;EAV-160107-G; Old vehicles: oil filter;310;0.3
2018;EAV-160108-G; End-of-life vehicles: components containing mercury;7;0.0
2018;EAV-160109-G; End-of-life vehicles: components containing PCBs;-;-
2018;EAV-160110-G; End-of-life vehicles: Explosive components (e.g. from airbags);44;1.0
2018;EAV-160111-G; End-of-life vehicles: brake pads containing asbestos;-;-
2018;EAV-160112-U; Brake pads (without 160111);27;2.6
2018;EAV-160113-G; Old vehicles: brake fluids;135;0.5
2018;EAV-160114-G; End-of-life vehicles: antifreeze m.dangerous. Substances;692;4.2
2018;EAV-160115-U; Antifreeze (without 160114);20;0.1
2018;EAV-160116-U; End-of-life vehicles: LPG tanks;3;0.0
2018;EAV-160117-U; End-of-life vehicles: ferrous metals;279;172.1
2018;EAV-160118-U; End of life vehicles: non-ferrous metals;184;104.5
2018;EAV-160119-U; End-of-life vehicles: plastics;156;14.6
2018;EAV-160120-U; End-of-life vehicles: glass;131;4.3
2018;EAV-16012100-G; dangerous Components (oh.160107-160111,160113-160114);42;2.1
2018;EAV-16012101-G; dangerous metal.components (oh.160107-11,160113-14);4;1,3
2018;EAV-16012102-G; dangerous n.metal.components(without.160107-11,160113-14);-;-
2018;EAV-16012200-U; Components not differentiable;34;4.0
2018;EAV-16012201-U; Metallic components;18;2.9
2018;EAV-16012202-U; Non-metallic components;-;-
2018;EAV-160199-U; End-of-life vehicles: waste not otherwise specified;24;0.4
2018;EAV-160209-G; Transformers & Capacitors containing PCB.;222;1.0
